,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
0,33649,2017,1,1,0,485.0,496.0,8.0,121.0,6100.0,4.0,-4.7,1022.1,-6.1,0.0,ENE,1.0,Aotizhongxin
1,33650,2017,1,1,1,477.0,497.0,7.0,113.0,6300.0,4.0,-5.2,1022.3,-6.4,0.0,E,0.7,Aotizhongxin
2,33651,2017,1,1,2,454.0,469.0,7.0,111.0,6200.0,4.0,-5.4,1022.5,-6.5,0.0,ENE,1.1,Aotizhongxin
3,33652,2017,1,1,3,418.0,425.0,6.0,109.0,5900.0,3.0,-5.2,1022.5,-6.2,0.0,E,1.1,Aotizhongxin
4,33653,2017,1,1,4,438.0,468.0,10.0,123.0,7700.0,16.0,-5.0,1021.9,-5.8,0.0,ENE,1.0,Aotizhongxin
5,33654,2017,1,1,5,453.0,462.0,10.0,107.0,7600.0,4.0,-4.6,1021.3,-5.4,0.0,ESE,0.8,Aotizhongxin
6,33655,2017,1,1,6,433.0,481.0,9.0,104.0,7200.0,3.0,-4.5,1021.5,-5.5,0.0,ENE,1.2,Aotizhongxin
7,33656,2017,1,1,7,416.0,462.0,7.0,108.0,6700.0,3.0,-4.7,1021.9,-5.7,0.0,NE,1.0,Aotizhongxin
8,33657,2017,1,1,8,421.0,468.0,7.0,118.0,6800.0,3.0,-4.8,1022.3,-5.6,0.0,E,0.9,Aotizhongxin
9,33658,2017,1,1,9,424.0,434.0,7.0,125.0,6400.0,3.0,-4.8,1022.6,-5.6,0.0,E,1.0,Aotizhongxin
10,33659,2017,1,1,10,413.0,415.0,7.0,135.0,6100.0,16.0,-4.1,1022.8,-5.1,0.0,ENE,0.9,Aotizhongxin
11,33660,2017,1,1,11,425.0,425.0,8.0,141.0,5500.0,5.0,-1.9,1022.0,-4.4,0.0,WSW,0.9,Aotizhongxin
12,33661,2017,1,1,12,381.0,381.0,11.0,151.0,5100.0,7.0,0.7,1020.9,-4.0,0.0,SSW,0.9,Aotizhongxin
13,33662,2017,1,1,13,466.0,471.0,14.0,188.0,6400.0,7.0,1.1,1020.1,-3.4,0.0,ESE,1.3,Aotizhongxin
14,33663,2017,1,1,14,542.0,542.0,14.0,217.0,7600.0,7.0,1.3,1019.3,-3.6,0.0,ESE,1.5,Aotizhongxin
15,33664,2017,1,1,15,568.0,572.0,12.0,215.0,7400.0,5.0,0.7,1019.1,-3.8,0.0,E,1.7,Aotizhongxin
16,33665,2017,1,1,16,568.0,578.0,10.0,212.0,7400.0,7.0,-0.2,1019.2,-3.9,0.0,ESE,2.1,Aotizhongxin
17,33666,2017,1,1,17,543.0,543.0,9.0,197.0,7300.0,2.0,-1.0,1018.8,-4.4,0.0,E,1.1,Aotizhongxin
18,33667,2017,1,1,18,522.0,527.0,8.0,193.0,7400.0,2.0,-1.3,1019.1,-4.1,0.0,SSE,1.0,Aotizhongxin
19,33668,2017,1,1,19,487.0,498.0,8.0,182.0,7200.0,2.0,-1.3,1019.6,-4.1,0.0,S,1.1,Aotizhongxin
20,33669,2017,1,1,20,475.0,489.0,8.0,177.0,7300.0,3.0,-2.6,1020.2,-4.6,0.0,E,1.5,Aotizhongxin
21,33670,2017,1,1,21,459.0,491.0,8.0,168.0,7400.0,3.0,-3.4,1020.5,-5.1,0.0,ENE,0.8,Aotizhongxin
22,33671,2017,1,1,22,453.0,467.0,9.0,156.0,7200.0,3.0,-3.8,1021.0,-5.2,0.0,SE,0.6,Aotizhongxin
23,33672,2017,1,1,23,417.0,443.0,8.0,143.0,6800.0,2.0,-4.8,1021.2,-6.2,0.0,E,1.1,Aotizhongxin
24,33673,2017,1,2,0,395.0,467.0,8.0,141.0,6900.0,3.0,-4.8,1020.9,-5.9,0.0,E,1.4,Aotizhongxin
25,33674,2017,1,2,1,420.0,484.0,9.0,139.0,7400.0,3.0,-5.8,1020.7,-7.0,0.0,SSE,0.7,Aotizhongxin
26,33675,2017,1,2,2,453.0,520.0,9.0,157.0,7600.0,4.0,-6.1,1021.3,-7.3,0.0,NE,0.6,Aotizhongxin
